time	V(bus02)	V(bus03)	V(bus04)	V(vinn)	V(vinp)
Step Information: Ibias=63µ  (Run: 1/3)
2.619540157151699e-02	6.573176e-01	7.754051e-01	6.920710e-01	1.309770e+00	1.190230e+00
2.629305782151699e-02	6.487255e-01	7.759935e-01	6.879243e-01	1.314653e+00	1.185347e+00
2.639071407151699e-02	6.400816e-01	7.765311e-01	6.841305e-01	1.319536e+00	1.180464e+00
2.648837032151699e-02	6.313977e-01	7.770185e-01	6.806870e-01	1.324419e+00	1.175581e+00
2.658602657151700e-02	6.226835e-01	7.774571e-01	6.775857e-01	1.329301e+00	1.170699e+00
2.668368282151700e-02	6.139472e-01	7.778487e-01	6.748141e-01	1.334184e+00	1.165816e+00
2.678133907151700e-02	6.051943e-01	7.781959e-01	6.723552e-01	1.339067e+00	1.160933e+00
2.687899532151700e-02	5.964278e-01	7.785016e-01	6.701890e-01	1.343950e+00	1.156050e+00
2.697665157151700e-02	5.876482e-01	7.787689e-01	6.682931e-01	1.348833e+00	1.151167e+00
2.707430782151700e-02	5.788531e-01	7.790014e-01	6.666439e-01	1.353715e+00	1.146285e+00
2.717196407151700e-02	5.700383e-01	7.792025e-01	6.652170e-01	1.358598e+00	1.141402e+00
2.726962032151701e-02	5.611976e-01	7.793754e-01	6.639886e-01	1.363481e+00	1.136519e+00
2.736727657151701e-02	5.523238e-01	7.795237e-01	6.629357e-01	1.368364e+00	1.131636e+00
2.746493282151701e-02	5.434092e-01	7.796502e-01	6.620366e-01	1.373247e+00	1.126753e+00
2.756258907151701e-02	5.344464e-01	7.797579e-01	6.612712e-01	1.378129e+00	1.121871e+00
2.766024532151701e-02	5.254294e-01	7.798494e-01	6.606213e-01	1.383012e+00	1.116988e+00
2.775790157151701e-02	5.163539e-01	7.799269e-01	6.600705e-01	1.387895e+00	1.112105e+00
2.785555782151701e-02	5.072181e-01	7.799925e-01	6.596043e-01	1.392778e+00	1.107222e+00
2.795321407151702e-02	4.980225e-01	7.800480e-01	6.592095e-01	1.397661e+00	1.102339e+00
2.805087032151702e-02	4.887700e-01	7.800950e-01	6.588752e-01	1.402544e+00	1.097456e+00
2.814852657151702e-02	4.794657e-01	7.801349e-01	6.585914e-01	1.407426e+00	1.092574e+00
2.824618282151702e-02	4.701163e-01	7.801689e-01	6.583498e-01	1.412309e+00	1.087691e+00
